id,text,Fuente,es_gracioso_p1,es_gracioso_p2,es_gracioso_p3,Es_gracioso,nivel_gracia_p1,nivel_gracia_p2,nivel_gracia_p3
1664,Chile ya son 11 defensas.,Dataset_existente,1,1,1,1,2,1,5
1665,Ir a la casa de un amigo que no tiene WiFi es una verdadera prueba de amistad.,Dataset_existente,1,1,1,1,4,3,4
1666,"-Abuela, ¿viste mis drogas de diseño? -No, estuve entretenida viendo como juegan los dragones con los delfos en el techo.",Dataset_existente,1,1,1,1,2,3,2
1667,"EUA debería de mandar a mi novia a la tercera guerra mundial, a esa pendeja nadie le gana.",Dataset_existente,1,0,1,1,2,0,2
1668,"—¿Nivel de ruso? —Excelentovsky. —No sabe nada, ¿verdad? —Exactovsky. —¡LÁRGUESE DE AQUÍ! —Hasta luegovsky.",Dataset_existente,1,1,1,1,4,4,4
1669,"¿Qué le dijo Terminator al técnico que le iba actualizar el software a su computador? Instala Vista, baby",Dataset_existente,1,1,1,1,1,1,2
1670,"Tengo más enredados mis sentimientos, que mis audífonos.",Dataset_existente,1,1,1,1,1,4,2
1671,Di vuelta el televisor para verlo a Neymar de pie.,Dataset_existente,0,1,1,1,0,1,1
1672,"""Ya güey, vamos, más vale pedir perdón que pedir permiso"".

-Satanás vestido de uno de tus amigos...",Dataset_existente,1,1,1,1,2,1,5
1673,"Mi vida se divide en tres partes:

1. No me puedo levantar.
2. Tengo hambre.
3. No me puedo dormir.",Dataset_existente,1,1,1,1,3,3,2
1674,"—Durante años te esperé y ahora que te tengo tan cerca, no lo puedo creer.
—¡Gracias, mi amor!
—¡Cállate, le estoy hablando al Mundial!",Dataset_existente,1,0,1,1,4,0,4
1675,"-Te amo. -Yo más. -No, yo más. -No, yo más. -¿Quién le perdonó los cuernos a quién? -Esta bien, tú más :D",Dataset_existente,1,1,1,1,3,5,3
1676,"— Me ando cogiendo a tu novia.
— ¿Es una broma?
— No, una broma sería así: Toc toc.
— ¿Quién es?
— Yo, cogiéndome a tu novia.",Dataset_existente,1,0,1,1,3,0,3
1677,"—¿Cuáles son tus intenciones con mi hija?
—Cogérmela, señor.
—¿¡CÓMO!?
—Prefiero no entrar en detalles, señor, no sea pervertido.",Dataset_existente,1,1,1,1,3,2,2
1678,Entra un tipo loco de remate y... ¡Goooolll!,Dataset_existente,0,1,1,1,0,2,4
1679,Duermo con ojos normales y despierto con ojos de nacionalidad japonesa.,Dataset_existente,0,1,1,1,0,5,5
1680,"Éxitos musicales para mañana:

1. The Wall - Pink Floyd
2. Esa pared - Leo Dan
3. La pared - Shakira
4. Muro - Miguel Bosé

#ElectionNight",Dataset_existente,1,1,1,1,4,4,2
1681,"#YoLoQueQuieroEs tomar alcohol sin que me de resaca, comer sin engordar, amigas con derechos, y sexo sin compromiso.  No pido mas.",Dataset_existente,1,1,1,1,1,1,2
1682,"206 huesos, 650 músculos, 50 billones de células y levantar todo eso de la cama los sábados, se complica mucho.",Dataset_existente,0,1,1,1,0,4,2
1683,"Dos amigos:
- Sabes que mi mujer, a la hora del amor, es como un pez en el agua.
- ¿Qué hace?
- Pues, nada...",Dataset_existente,1,1,1,1,1,4,5
1684,"—Doctor, últimamente me veo feo y gordo. ¿Qué tengo? —Razón y obesidad.",Dataset_existente,1,1,1,1,1,4,2
1685,"Investigaciones recientes indican que sólo 6 personas sufren de crisis económica en el País: yo, tú, él, nosotros, vosotros y ellos.",Dataset_existente,1,1,1,1,4,2,3
1686,"-Chofer, no vaya tan rápido que me mareo. -No se preocupe y haga como yo: Cierre los ojos.",Dataset_existente,1,0,1,1,3,0,1
1687,#SabesQueTeEstánIgnorandoCuando Piensas ''Quizás le robaron el teclado y por eso no me responde'' ¡Si! debe ser eso.,Dataset_existente,1,1,1,1,1,1,3
1688,"Hay tres cosas que el hombre no puede ocultar: Estar borracho, estar enamorado y un elefante en la cocina.",Dataset_existente,1,1,1,1,1,5,4
1689,"Lo que no te mata, te manda un mensaje meses después cuando ya la superaste.",Dataset_existente,1,1,1,1,5,4,1
1690,"Situación sentimental: Mágica, nada por aquí, nada por allá.",Dataset_existente,1,0,1,1,2,0,4
1691,Macho alfa que se respeta siempre arruina un momento cursi con alguna pendejada.😌,Dataset_existente,1,0,1,1,2,0,4
1692,"Se me hace que tengo 2 pies izquierdos, porque da igual con qué pie me levante, siempre me va de la verga en todo. ☹️",Dataset_existente,1,1,1,1,3,1,3
1693,"-¿Eres feliz?
-En Facebook sí.",Dataset_existente,1,1,1,1,2,5,1
1694,"Dr. a paciente: Señor le tengo 2 noticias, una buena y una mala. La buena es que usted no es hipocondriaco...",Dataset_existente,1,1,1,1,2,2,3
1695,"Hay amores que te marcan de por vida, y otros que ni saldo tienen para marcarte...",Dataset_existente,1,0,1,1,4,0,1
1696,"#MientrasTantoEnUnUniversoParalelo: La gente se queja porque ""MTV"" es un canal de música y ya no pasan series como ""16 &amp; Pregnant"".",Dataset_existente,1,1,1,1,2,1,4
1697,"—¡Hagamos una orgía!
—¡Jesús! ¡No podemos poner eso en la Biblia!
—Está bien, está bien, entonces: ámense los unos a los otros.",Dataset_existente,1,1,0,1,3,4,0
1698,"-Mi cielo, ¿por qué esta noche no cambiamos de posición? Ella sonríe: -De acuerdo, yo veo la televisión y tu cocinas... #fb",Dataset_existente,1,1,1,1,2,2,2
1699,"Yo antes: MIRÁ SI ME VOY A QUEDAR EN CASA !!! 

Yo ahora: Mirá, si. Me voy a quedar en casa.",Dataset_existente,1,1,1,1,2,5,2
1700,¿Cómo haces para que un pescado no huela? ... Le tapás la nariz!,Dataset_existente,1,0,1,1,2,0,3
1701,"Hay dos tipos de música vieja:

1.- La “uhh quita eso, está muy viejo”.
2.- La “NOOOO, ¿TE ACUERDAS DE ESO? PONLA PONLA”.",Dataset_existente,1,0,1,1,1,0,4
1702,"—¿Hacemos algo hoy?

—No puedo salir.

—Bueno, voy para tu casa.

—Me robaron la casa.

 #Mi5PassCineco",Dataset_existente,1,1,1,1,4,3,2
1703,-Digale a su wila que deje de imitarme. -¡Carlos! ¡Deja ya de actuar como idiota!,Dataset_existente,1,1,1,1,4,3,3
1704,Lo dijo el pecoso :Te gano por puntos   #CHISTES,Dataset_existente,1,1,1,1,2,4,4
1705,"No me molesta que sean amigos, celos juro.",Dataset_existente,1,1,1,1,3,4,4
1706,"Contéstale rápido, dedícale canciones, desvélate con ella, escríbele cosas bonitas. Y te aseguro que te querrá como su mejor amigo.",Dataset_existente,1,0,1,1,3,0,2
1707,"Si tu pareja te pide ""tiempo"" y ""espacio"".. regalale un reloj y una nave espacial y que se vaya a la mi3%D@ #XD #RT",Dataset_existente,0,1,1,1,0,4,5
1708,"Las pastillas anticonceptivas deberían de ser para los hombres. Es más fácil quitarle las balas a un arma, que salir ileso de una balacera.",Dataset_existente,1,1,0,1,3,2,0
1709,"A veces todo lo que necesitamos es alguien que nos entienda, nos abrace y nos regale plata.",Dataset_existente,1,1,1,1,2,3,3
1710,Harry Potter y el misterio de por qué cuando tengo que madrugar me levanto tarde y cuando me puedo levantar tarde me despierto a las 5 a.m.,Dataset_existente,1,1,1,1,2,2,4
1711,"Tiene el ascendente en géminis, como yo ? somos dos bipolares inestables ?",Dataset_existente,1,1,1,1,2,4,4
1712,Oye cuantos años crees que tengo? -Mmh 22! -Uy cómo adivinaste? -Es que tengo un hermano que tiene 11 y es MEDIO bobo! #fb,Dataset_existente,1,1,0,1,3,3,0
1713,"A los más jóvenes les cuento: hace muchos años Maradona jugaba al fútbol, Patricia Sosa tenía un grupo de rock y Alfredo Casero hacía humor.",Dataset_existente,1,1,1,1,3,3,2
1714,"A veces creo que tengo una vida mierda, pero leo que laburan el domingo y se me pasa.",Dataset_existente,1,0,1,1,2,0,3
1715,Alerta tsunami en Bolivia y Paraguay.,Dataset_existente,0,1,1,1,0,2,5
1716,Juro que los semáforos a la mañana duran mas que mi propia vida amorosa 😟😑,Dataset_existente,0,1,1,1,0,2,4
1717,Ojalá el insomnio diera en la mañana.,Dataset_existente,0,1,1,1,0,3,1
1718,"No importa qué película estés viendo, cuando se acercan tus papás empieza a salir sexo, pedofilia, prostitución y drogas.",Dataset_existente,1,1,1,1,2,4,5
1719,No importa cuántas horas duermas. Tu cama siempre se pondrá mas cómoda justo cuando te tienes que levantar.,Dataset_existente,1,0,1,1,2,0,5
1720,Mujer excitada al esposo: -Amárrame y haz lo que más te gusta... El esposo la amarra y se va a tomar con sus amigos!,Dataset_existente,1,1,1,1,2,5,2
1721,"—¿Por que me has cambiado de canal?
—Mamá, estabas dormida.
—¡Estaba escuchando!.",Dataset_existente,1,1,0,1,3,4,0
1722,Capaz que el amor de mi vida era testigo de Jehová y yo nunca le abrí la puerta ...,Dataset_existente,1,1,1,1,2,4,2
1723,"Me da risa la gente competitiva.  Sí, a mi también.  Jaja  Jajaja  Jajajaja  Jajajajaja  Jajajajajaja  Jajajajajajaja",Dataset_existente,1,1,0,1,3,2,0
1724,"Si voy a pagar $50 por un café de Starbucks, es justo que me lleve 10 sobres de azúcar y unos sillones para mi sala.",Dataset_existente,0,1,1,1,0,3,2
1725,"Eh, tío, he soñado que ganaba 200 millones como mi padre. 
¿Tu padre gana 200 millones? 
No, también lo sueña. 😆",Dataset_existente,1,1,1,1,2,2,2
1726,"""Esos que estudian medicina 7 años, se van a cagar cuando sepan que las enfermedades se curan dándole like a las fotos de Facebook.""",Dataset_existente,1,1,1,1,2,3,3
1727,"—¡¡CAPITÁN CAPITÁN, NOS HUNDIMOS!!

—Lo sé marinero.

—¿¿Y NO VA A HACER NADA??

—A ver, que alguien saque a este idiota del submarino.",Dataset_existente,1,1,0,1,3,2,0
1728," A mí nadie me da órdenes!  ""2% de batería. Conecte el cargador"".  Voy!",Dataset_existente,0,1,1,1,0,3,4
1729,"Mamá, mamá en la escuela me dicen vaca!! –¿Quienes Hijita? –Los Muuuuuchachos mamá, los Muuuuuchachos #XD #RT",Dataset_existente,1,1,1,1,1,3,3
1730,"—Mi novia me dejó —¿Por qué? —Por no prestarle atención, o algo así me dijo, ya no me acuerdo.",Dataset_existente,1,1,0,1,3,2,0
1731,"-¿Quiénes hijo? 
-Mamá, en la escuela dicen que ves el futuro. (O_O)",Dataset_existente,1,1,0,1,2,2,0
1732,#Chiste Mama!! Mama!! En la escuela me dicen mafioso -Dejalos hijo yo me encargo de ellos - SI pero haz que parezca un accidente #chistes RT,Dataset_existente,1,0,1,1,2,0,3
1733,"San Cayetano  veranea En Santiago del Estero , porque allí nadie le pide trabajo #chistes #humor",Dataset_existente,1,1,1,1,3,2,3
1734,"- ¿Qué son 50 físicos y 50 químicos juntos?
- Pues 100tíficos... #chistes",Dataset_existente,1,1,0,1,2,2,0
1735,"Doctor, ¿como se encuentra mi hijo, el que se tragó una moneda? -Sigue SIN CAMBIO, Sra.",Dataset_existente,1,1,0,1,1,2,0
1736,"Hijo, ¿Reprobaste? Sí, YOLO!... ¿YOLO? Sí, yolo de la tlisteza JAJAJAJÁ! ¡Maldito chino, por eso te adoptamos! JÁ! ¡Lo sé, soy telible",Dataset_existente,1,1,1,1,2,3,3
1737,"Jefe al empleado: -Es el cuarto día que llega tarde esta semana, que conclusión saca de éso? -Que hoy es jueves! by @franklintobon #fb",Dataset_existente,0,1,1,1,0,2,2
1738," Escucha eso mi amor, es nuestra canción.  Pero si es el himno de la Champions.  ¿Quieres callarte? Estoy hablando con la cerveza.",Dataset_existente,1,0,1,1,2,0,2
1739,"- Papá, ¿qué se siente tener un hijo tan guapo?.
- No sé hijo, pregúntale a tu abuelo...",Dataset_existente,1,1,0,1,3,4,0
1740,"Niñas de 7 años publicando en sus estados ""El amor me ha hecho sufrir"" Me pregunto - ¿Quien las a decepcionado? ¿Barney o Los Teletubies?.",Dataset_existente,1,0,1,1,2,0,2
1741,"Van 6 elefantes en un carro, ¿cual de ellos va manejando? El que tiene licencia de conducir",Dataset_existente,1,1,1,1,3,2,1
1742,"Una vez le dije ""te amo"" al semaforo en verde y se puso rojito. FUE HERMOSO.",Dataset_existente,1,0,1,1,3,0,3
1743,"Una cerdita: -Mamá, mamá por qué tenemos una raja aquí abajo? -Porque si la tuvieras arriba serías una alcancía.",Dataset_existente,0,1,1,1,0,3,5
1744,¡Nunca renuncies a tus sueños!... Sigue durmiendo.,Dataset_existente,1,1,1,1,1,3,3
1745,"—En mis tiempos...

—Sí abuela, en sus tiempos todos eran súper santos y por eso tengo 20 tíos.",Dataset_existente,0,1,1,1,0,2,2
1746,"Confundí mis antidepresivos con el Viagra, hubieran visto, la paja más triste de mi vida.",Dataset_existente,1,1,1,1,2,3,1
1747,"EL APELLIDO DE ADAN Y EVA, ERA PEREZ... PORQUE DIOS LES DIJO, ""SI COMEN DE ESTA MANZANA, PEREZ SERAN.",Dataset_existente,1,0,1,1,5,0,3
1748,"-¿Qué tal lo de tu adicción al sexo?
-Te hice caso, me puse en manos de profesionales
-Claro, hay psicólogos muy buenos
-No me has entendido",Dataset_existente,1,1,1,1,2,2,3
1749,"— Mamá, mamá, en el colegio me llaman desconfiado. — Ve y cuéntaselo a tu padre. — Dudo mucho que ese señor sea mi padre.",Dataset_existente,1,1,1,1,4,4,2
1750,"Si Trump hace el muro podemos construir casas pegadas al muro y ya sólo ponemos 3 paredes porque el tonto ya nos regaló una

Mex: 1 Trump: 0",Dataset_existente,1,0,1,1,1,0,5
1751,Hoy en el autobús una embarazada y una anciana que estaban de pie me miraban mucho. Seguro me confundieron con alguien...,Dataset_existente,1,0,1,1,3,0,2
1752,"8 de cada 10 hombres se rasca los testículos, los otros 2 son mancos",Dataset_existente,1,1,1,1,4,1,3
1753,"¿Por qué los hombres se sientan con las piernas abiertas?.
Para no aplastar su cerebro.",Dataset_existente,0,1,1,1,0,1,1
1754,"Un Sr entra a la farmacia y le dice al dueño: -Sr ¿tiene algo contra la gripa? -No, al contrario, me trae muchos clientes! #fb",Dataset_existente,1,1,1,1,3,2,3
1755,"Mamá, mamá, me se cae la baba. - No hija, será 'SE ME'. - No mamá, te juro que es baba.",Dataset_existente,0,1,1,1,0,3,2
1756,"—Hijo, ven y disfruta la Navidad. 
—Odio la Navidad, mamá. 
—¿Qué hago con este iPhone 5s? 
—Belén, campanas de Belén (8)",Dataset_existente,1,0,1,1,2,0,4
1757,"Cuando un millonario pasa a mejor vida, sus herederos también... #fb",Dataset_existente,1,1,0,1,5,2,0
1758,"Papá, papá, la profesora hizo una pregunta y yo fui el único que levantó la mano.
¿Y qué preguntó?
¿Quién no hizo la tarea?",Dataset_existente,1,0,1,1,4,0,3
1759,"RT @Lautarofernndez: ¿Cual es el objeto mas feliz del mundo? La escoba, porque barriendo @ChisteMalo",Dataset_existente,1,1,1,1,2,1,2
1760,"Hijo, ¿ha llamado algún idiota? No papá, tú eres el primero.",Dataset_existente,1,1,1,1,2,2,3
1761,"—Eres la mujer más hermosa, inteligente y amable que he visto en mi vida.
—Sólo quieres cogerme, ¿verdad?
—¡Woow! Y también lees la mente.",Dataset_existente,1,1,1,1,3,1,2
1762,Cupido usa pañal porque siempre la caga.,Dataset_existente,1,1,0,1,5,2,0
1763,"—¿Qué pasaría si la Tierra fuera un cubo? Todos seriamos Cubanos, JAJAJÁ. ¿Entienden? Cubo=Cubanos. JAJAJAJAJÁ. Hay, nadie me quiere. :(",Dataset_existente,1,1,0,1,4,3,0
1764,"—¿Alguna pregunta jóvenes?
—Sí profe, ¿por qué los Picapiedra festejaban Navidad si vivieron antes de Cristo?
—Sobre la clase.
—Ah, no.",Dataset_existente,1,1,1,1,4,4,2
1765,"Yo: Finalmente soy muy feliz

La vida: JAJAJAJA, espera un segundo",Dataset_existente,1,1,1,1,2,2,2
1766,"¿Que diferencia hay entre una suegra y un terrorista?
Que con el terrorista se puede negociar.",Dataset_existente,1,1,1,1,4,2,3
1767,"— Te manda saludos Elver.
— ¿Elver?
— El verdadero amor de tu vida que siempre te amará. ¿Qué esperaban? ¿Vulgaridades? No, maduremos ya 😇",Dataset_existente,1,1,1,1,2,4,3
1768,"—¿Y tu media naranja? 
—La ahogué en mi vodka",Dataset_existente,1,1,1,1,2,2,1
1769,"El otro día hice un 114 con esa mujer -¿Un 114?  -Sí, estaba haciendo un 69 y apareció el marido con una 45!  #fb",Dataset_existente,1,1,0,1,2,3,0
1770,"—¿Extrañas a tu ex?
—No.
—¿Y qué haces afuera de su casa.
—Es que todavía tengo la clave del WIFI.",Dataset_existente,1,1,1,1,2,4,3
1771,"Un dia mi vecino me vio acostado en una hamaca y me dijo:
- La pereza es pecado y yo le conteste:
- Y la envidia también # XD",Dataset_existente,1,1,0,1,3,4,0
1772,"Mi mujer me dijo que a nuestra relacion le hacia falta magia... pin pun..
me desapareci 8 dias..#chistes #humor",Dataset_existente,1,1,0,1,2,4,0
1773,"- Hijo, ve y pídele el martillo al vecino. - Dice que no, que se le gasta. - ¡Menudo tacaño! Anda, ve y coge el que está en el garaje.",Dataset_existente,1,1,1,1,4,3,2
1774,"—¿Te desmayaste?  —No, me estoy reiniciando.",Dataset_existente,1,1,1,1,3,4,2
1775,"Mami, yo soy adoptado? -Oiga a este bobo, usted cree que si hubiera sido adoptado hubiéramos escogido el mas feo?",Dataset_existente,1,1,1,1,1,3,5
1776,"*A la mierda el orgullo, le voy a hablar*

—Buenos días, vecino. ¿Podría dejar el módem prendido si es que llega a salir al rato?",Dataset_existente,1,1,0,1,2,3,0
1777,"Me dijo “muero por verte” y supongo que se murió, porque nunca nos vimos.",Dataset_existente,1,1,0,1,2,2,0
1778,"—Doctor, ¿está usted seguro de que la mamografía se hace con la boca? —TFOTFALMENFTE.",Dataset_existente,1,0,1,1,5,0,5
1779,"-Houston, aquí Apolo, ¿me recibe?
-¿Apolo qué?
-¡Coño, el Apolo 13!
-Agárramela que me crece, jajaja
-No, si al final nos va a pasar algo...",Dataset_existente,1,1,1,1,1,4,4
1780,#Chiste Sabias que murio Bayer? -Y quien es Bayer? - No lo se pero si es Bayer es Bueno #Chistes RT,Dataset_existente,1,0,1,1,1,0,1
1781,Si un abogado enloquece... ¿pierde el juicio? #fb,Dataset_existente,0,1,1,1,0,5,5
1782,Esto de ser daltónico jode bastante porque se te mezclan los chistes verdes con el humor negro.,Dataset_existente,1,1,1,1,3,4,2
1783,"—¿A qué te dedicas? 😮
—Soy modelo 😊
—Pero estás gordo 😐
—Sí, es que yo soy el “Antes” 😢",Dataset_existente,1,1,0,1,3,3,0
1784,"¿Qué es blando, y en las manos de una mujer se torna duro? El esmalte de uñas...",Dataset_existente,1,0,1,1,2,0,2
1785,Prefiero al tenor de Plácido Domingo que al temor del Jodido Lunes!,Dataset_existente,1,0,1,1,3,0,1
1786,"Asaltan a una rubia. Llega el Zorro, la salva y deja su Z. La rubia mira la marca y grita: ¡Gracias Zuperman!",Dataset_existente,1,1,1,1,4,5,4
1787,Esta tan enfermo que el medico le dijo que la unica esperanza que le queda es  la reencarnación.  #chistes #humor,Dataset_existente,1,1,1,1,2,3,2
1788,"-No sabes, inventé un instrumento que sirve para atravesar paredes -¿Cóoomo? -Si, lo que escuchaste -Y que nombre le pusiste? -Puerta",Dataset_existente,1,1,1,1,2,2,2
1789,"¿Y hablas con tu mujer después de hacer el amor?

- Si traigo saldo sí, si no, hasta que llegue a la casa.

#FrasesDespuesDeSalirDelHotel",Dataset_existente,1,1,1,1,5,3,2
1790,#Chiste: Se saben el chiste del Chapulincolorado? ........no?........ lo sospeche desde un principio. #chistes RT.,Dataset_existente,1,1,0,1,1,1,0
1791,"Todo aquel que madruga, nadie le prepara el desayuno.",Dataset_existente,1,1,0,1,4,1,0
1792,"—Abuelo ¿que piensas de la vida? —Hija la vida es como ""un pene"" —¡¿PENE?! —Si, parece corta, pero se vuelve larga, cuando se pone dura. #XD",Dataset_existente,0,1,1,1,0,3,3
1793,"#Chiste mamá, mi papá esta tirando todo lo que no le gusta por la ventanaaaaaaaaaaaaaaaaaaaaaaa #chistes RT",Dataset_existente,1,1,0,1,3,1,0
1794,"—Mijo, te traje la película del canguro que me pediste. —ERA LA DEL CONJURO MAMÁ, ¡EL CONJURO! ¡SI ME ODIAS MEJOR DIME!",Dataset_existente,1,1,1,1,2,3,4
1795,Luis ¿como hace el perro? Guau. Juan ¿como hace el gato? Miau. Pepito ¿como hace el Puma? Y Agarreense de las maaaanos! #fb,Dataset_existente,1,1,1,1,4,2,3
1796,"—¿Por qué mi hermana se llama Mercedes?

—Porque en un coche de esos lo hicieron tus padres.

—¡Qué romántico Abuelo!

—Lo sé, Sala9delCine.",Dataset_existente,1,0,1,1,5,0,3
1797,"–¿Tiene pastillas para la diarrea? –No. –Ok, deme un rollo de papel higiénico :(",Dataset_existente,1,1,0,1,3,1,0
1798,- Nivel de ortografía?  - Altísimo.  - Dígame dos palabras con tilde.  - Matilde y Cleotilde.  - ¡¡¡Seguridad!,Dataset_existente,0,1,1,1,0,2,1
1799,"Un camello puede trabajar 7 días sin beber, yo puedo beber durante 7 días sin trabajar.",Dataset_existente,1,1,0,1,1,3,0
1800,"—Gracias mi amor, anoche me la pasé muy bien... —Pero... ¡No viniste a verme idiota! —¡Exacto!",Dataset_existente,1,1,0,1,4,1,0
1801,"—Amor, ¿Cómo te fue en el curso de buenos modales?

—De la verga.",Dataset_existente,1,1,1,1,3,2,2
1802,"En pleno acto sexual, una viejita al marido: -¡Pareces celular! -¿Vibro mucho? -No, al entrar al túnel se te cae la señal!",Dataset_existente,1,1,1,1,3,2,3
1803,Tenía un perro tan obediente que un día le dije ATAQUE! Y cayó muerto de un paro cardíaco... #fb,Dataset_existente,1,1,1,1,4,3,1
1804,"Típico: abres la ventana para que salga un mosquito... Y terminan metiéndose 6 moscas, 2 cucarachas, 3 arañas y un testigo de Jehová.",Dataset_existente,1,1,1,1,1,4,4
1805,"""Todos los hombres son iguales"" Una mujer buscando a su esposo en la concentración ""China"" de la Villa Olímpica.",Dataset_existente,1,1,1,1,1,4,2
1806,"#chiste: #Picante: Por que los hombres prefieren las mujeres lloronas???? porque la que no llora, no mama.. #chistes RT.",Dataset_existente,1,1,0,1,3,3,0
1807,"— ¿Cuál es tu plato favorito y por qué?

— Bueno, mi plato favorito es el hondo porque le cabe más comida.",Dataset_existente,1,1,0,1,4,3,0
1808,"—Mi papá tiene una fabrica de velas —¿Develas? —Sí —¿Develitas? —SÍ —¿En selio? —No te vuelvo a contar nada, maldito chino —Soy telible",Dataset_existente,1,0,1,1,3,0,2
1809,"Y cual es el refresco mas oscuro?
Seve Na'  #CHISTES",Dataset_existente,1,1,1,1,3,4,2
1810,"— ¿De qué es tu disfraz?
— Soy un fantasma.
— Pero tu sabana es de flores.
— Soy un fantasma tatuado.",Dataset_existente,1,1,1,1,1,3,2
1811,"—Doctor, ¿cómo está el paciente?
—Tiene un cuadro de vómito y diarrea.
—Qué mal gusto, en estos días a cualquier porquería le llaman arte.",Dataset_existente,1,1,1,1,4,2,1
1812,"—No estaba tan borracho anoche. 

—¿Entonces sí soy el amor de tu vida y nos vamos a casar?

—JAJAJAJAJA ¡Estaba borrachísimo!",Dataset_existente,0,1,1,1,0,5,2
1813,"- Si mis besos fueran WiFi, ¿me los pedirías o me los robarías?
- Usaría datos móviles...
#Chistes #Humor #Anecdo...",Dataset_existente,1,1,1,1,2,2,4
1814,"Me voy a robar tu corazón 
- Awwww, qué romántico! 
- No, es en serio... SOY TRAFICANTE DE ÓRGANOS! #jajaja #xD #RT",Dataset_existente,0,1,1,1,0,1,2
1815,"Tenemos química. — Awwwwwwwwww *--* ¿tu crees? — ¡Si, mira el horario!. #XD #JAJAJA",Dataset_existente,1,1,1,1,3,2,2
1816,"Cuando en la películas dicen: ""basado en hechos reales"", lo que en realidad quieren decir es:  ""Así pasó pero con gente fea"".",Dataset_existente,1,0,1,1,3,0,1
1817,Llega un marciano a la casa de un gangoso y le dice: -¡Vengo de Marte! Y el gangoso: -¿De marte de quien?,Dataset_existente,1,1,1,1,2,3,3
1818,#chistes #humor que le dijo un bosque a otro bosque : y vos que?,Dataset_existente,1,0,1,1,3,0,2
1819,"— ¿Aquí es la reunión para personas impuntuales? — Ops, fue ayer.",Dataset_existente,1,1,0,1,4,4,0
1820,"Amor tengo un problema —No digas ""tengo"" di ""tenemos"" tus problemas son mios amor—Ok, nuestra secretaria va a tener un hijo nuestro jajajaja",Dataset_existente,1,1,1,1,3,2,3
1821,Algún día ese cuerpazo tuyo sera mío... Cueste lo que me cueste y duélale a quien le duela. Att: La Funeraria.,Dataset_existente,1,1,0,1,2,2,0
1822,"—¿Qué preferís, la siesta o yo? — Cuando te vayas apaga la luz.",Dataset_existente,1,1,1,1,2,2,3
1823,#frase: Más vale borracho conocido que alcohólico anónimo ---RT,Dataset_existente,0,1,1,1,0,5,1
1824,"Gente que llega a tu casa y te pregunta: ""¿Tienes baño?""... PUES OBVIO QUE TENGO, NI QUE FUERA CAVERNÍCOLA.",Dataset_existente,1,1,1,1,3,2,2
1825,—¡Mamá mamá! En la escuela me dicen incoherente —¿Por qué hijo? —Salchicha,Dataset_existente,1,1,1,1,1,1,2
1826,"Más confundido que testigo de Jehová en una casa sin timbre
#frases",Dataset_existente,1,0,1,1,2,0,3
1827,"Qué difícil es encontrar las películas de Vin Diesel de XXX en Internet. 

Llevo como una semana viendo porno 😕",Dataset_existente,1,1,1,1,2,1,2
1828,"Va el tenedor al hospital y se encuentra con el cuchillo
_ Qué andas haciendo por aquí?
- Vine porque cuchara sopera

#DijeQueTeniaPeores",Dataset_existente,1,0,1,1,3,0,1
1829,"#Chiste: Doctor, me duele la pierna izquierda. - Eso es por la edad. - Pues la derecha es igual de vieja y no me duele #chistes RT.",Dataset_existente,0,1,1,1,0,4,3
1830,Borracho en of. policía: -Podría ver al que robó anoche en mi casa? -Para qué? -Para saber cómo entró sin despertar a mi mujer! #fb,Dataset_existente,1,1,1,1,2,4,2
1831,"-¿Nivel de Inglés?
-Alto.
-Traduzca 'gratis'.
-Free.
-Úselo en una oración. 
-A mi mamá se le quemaron lo freejoles.
-¡Seguridad!",Dataset_existente,1,0,1,1,2,0,2
1832,"Juanito rápido 5x8? -37 maestra! - noooo, es 40 bruto! - Perra querías velocidad o precisión??? jajajajaja #humortico",Dataset_existente,1,1,1,1,3,2,2
1833,"-Doctor, me siento como si fuera una tijera... -¡Pero cortelá con eso!",Dataset_existente,1,1,1,1,3,3,2
1834,"Dos mujeres caníbales: -Oye, ¿de verdad terminaste con tu novio? -No, me faltan las orejas!",Dataset_existente,0,1,1,1,0,3,2
1835,Con los años mi Juan se ha vuelto en una fiera en la cama -¿Te hace el amor salvajemente? -No... se mea para marcar su territorio,Dataset_existente,1,1,1,1,3,1,3
1836,"—Me cortó mi novia.
—No importa amigo, todos se la agarraban, hasta yo, ¿Y cómo te cortó?  
—Jugando con un cuchillo.
—Ah.....",Dataset_existente,0,1,1,1,0,2,4
1837,"María a Pepe: -La cocinera quemó la cena, ¿podrás conformarte con un rato de amor? -Está bien, que venga la cocinera! by @ferg1315",Dataset_existente,1,1,1,1,3,2,3
1838,"¿Cómo se llama el campeón mundial de moto? 
Yosi Montomoto. 
¿Y el subcampeón? 
Yokasi Montomoto. 
#Chistes #Humo...",Dataset_existente,1,1,1,1,3,5,4
1839,"Bueno ya, basta de hablar de fútbol, hablemos de sexo. ¿Vieron la cogida que le dio el PSG al Barça?",Dataset_existente,1,0,1,1,2,0,2
1840,"—Anoche tu novia me guiñó el ojo. 
—Ah, lo que pasa es que tiene un tic nervioso. 
—Ah, perdón, pensé que me tiraba el pedo y me la cogí.",Dataset_existente,1,1,1,1,2,4,2
1841,"¿Cuál es el único pájaro que hace pipí por la boca? Mal pensados, es el correcaminos, pi pi! #fb",Dataset_existente,0,1,1,1,0,2,2
